command,response_time
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Statement 1 | S_n is non-Abelian for all n >= 3. Statement 2 | If a is a permutation that is an m-cycle and b is a permutation that is an n-cycle, then |ab| = lcm(m,n)."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.116
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Find the characteristic of the ring Z x Z."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.727
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.857
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.927
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Macrostomia results from failure of fusion of"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.600
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""In the brain stem, pathways for:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.723
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The head of the sixth rib articulates with"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",7.375
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following allows air to pass into the lungs?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",5.338
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following is the large bone found superior to the patella and inferior to the ischium?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.747
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A possible effect of damage to the third cranial nerve by trauma to the orbit is"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.732
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following statements is true of the temporomandibular joint?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.750
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A successful infraorbital nerve block will produce anaesthesia of the"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.686
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A patient with damage to their cervical sympathetic chain will show the following signs and symptoms."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",8.058
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Saliva contains an enzyme that acts upon which of the following nutrients?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.825
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The mucosa of the upper larynx is innervated by the"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.772
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following conditions is characterized by incompetence of the esophageal sphincter?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.752
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Osteoclasts"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.585
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which one of the following brain areas is supplied by branches of the subclavian arteries?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.819
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Food is prevented from entering the larynx during the pharyngeal phase of swallowing by"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.114
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following structures accompany the oesophagus through the diaphragm?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.748
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.873
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",5.012
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The nebular theory of the formation of the solar system successfully predicts all but one of the following. Which one does the theory not predict?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",5.227
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Find the best approximation for the surface temperature of the Sun:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.691
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The two moons of Mars are called ..."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.684
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.886
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""From shortest to longest wavelength which of the following correctly orders the different categories of electromagnetic radiation?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.749
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Besides large astronomical objects astrophysicists are also interested in small particles from space. Which one of these particles has the weakest interactions with other particles?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.031
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The Large Magellanic Cloud is ..."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.628
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",9.672
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""On which planet in our solar system can you find the Great Red Spot?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.669
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which one of these constellations is not located along the Milky Way in the sky?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.793
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.131
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A sand bag has a mass of 5kg and weight 50N on Earth. What is the mass and weight of this sand bag on a planet with half the gravity compared to Earth?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.077
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""What is the source of the material that causes meteor showers?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.749
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Why are the inner planets made of denser materials than the outer planets?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.241
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following lists the ingredients of the solar nebula from highest to lowest percentage of mass in the nebula?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",8.299
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The star Betelgeuse is one of the brightest stars in the night sky with remarkable red color. In which constellation is Betelgeuse located?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",8.903
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Cultural homogenization."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.565
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The extent to which an individual believes they can control their life is determined by their __________."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.840
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""________ is the use of language of to mask or expose the ethical nature of decisions, actions and behaviours."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",4.635
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A(n) __________ is a ________, __________ framework which goes beyond linear functions, operations and transactions to produce a certain commodity or product"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.344
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""_______ theory can be described as a code of conduct to which all rational beings should adhere. This contrasts with ________ morality which is the code of conduct adopted by a particular group or society."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",3.982
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Post-modern ethics assert that ethics are context and individual specific and as such have an internal guide to ethics."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.830
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": "" What, according to Schnackenberg and Tomlinson (2014), are the three criteria which can be used to assess the quality of corporate transparency?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.945
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",4.096
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""________ is the right of a consumer to control what information companies can collect about them and how it is stored, used and shared."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",4.199
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Ethical issues related to marketing communications include the fact that they are _________ and unavoidable, they create ________ needs, reinforce _________ and perpetuate _________ and ______."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.904
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.987
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""They are too irrational and uncodified."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.584
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": "" _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.065
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""________ reasoning is considered by many to be prevalent within society and particularly within businesses, where it is often referred to in the form of a ___________."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",5.178
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following areas is not covered by the principles enshrined in the UN Global Compact?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.780
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The UK Public Services (Social Value) Act 2013 requires those procuring ______ to consider how they can secure wider _____, _____and _____ benefits."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.915
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""In order to try and align the interest of shareholders and senior management of a company, _________ are often made available to _______ of a company, to ensure that it is in their interests to increase _______ and dividend performance."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",11.061
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""For very high force contractions lasting 1-2 seconds, the initial energy source is from:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.778
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Hypernatraemic dehydration is:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.622
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.973
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following processes is not used to modify protein structure after translation has occurred?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",7.471
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Fatty acids are transported into the mitochondria bound to:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.725
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""When you are taking a musculoskeletal history which of the following is true?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",9.728
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The main factors determining success in sport are:"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.681
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""How many chromosomes do all human somatic cells contain?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.784
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which organ secretes insulin?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.580
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""The carpal bones are the small bones of the wrist - name them."", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.707
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",6.049
"hawk predict get-prediction --app-name EinsteinBYOM --predictor EinsteinSMEndpointSME --global --caller-service-ou app --input '{ ""inputPrompt"": ""When using an inhaler, when should a patient be asked to rinse their mouth?"", ""maxOutputToken"": 200, ""additionalProperties"":{} }' -e dev4 --header ""x-model-name=EinsteinDeepSeekR1""",10.728
